davidcanvas.js:2909 onMouseDown: 667, 124 ( 42.53826530612245, 27.43362831858407 )
davidcanvas.js:2917 onMouseUp: 667, 124 ( 42.53826530612245, 27.43362831858407 )
davidcanvas.js:2909 onMouseDown: 737, 89 ( 47.00255102040816, 19.690265486725664 )
davidcanvas.js:2917 onMouseUp: 737, 89 ( 47.00255102040816, 19.690265486725664 )
davidcanvas.js:2909 onMouseDown: 717, 33 ( 45.72704081632653, 7.300884955752212 )
davidcanvas.js:2917 onMouseUp: 717, 33 ( 45.72704081632653, 7.300884955752212 )
davidcanvas.js:2909 onMouseDown: 775, 49 ( 49.42602040816327, 10.84070796460177 )
davidcanvas.js:2917 onMouseUp: 775, 49 ( 49.42602040816327, 10.84070796460177 )
davidcanvas.js:2909 onMouseDown: 815, 51 ( 51.97704081632653, 11.283185840707965 )
davidcanvas.js:2917 onMouseUp: 817, 51 ( 52.10459183673469, 11.283185840707965 )
davidcanvas.js:2909 onMouseDown: 865, 43 ( 55.16581632653061, 9.513274336283185 )
davidcanvas.js:2917 onMouseUp: 865, 43 ( 55.16581632653061, 9.513274336283185 )
davidcanvas.js:2909 onMouseDown: 896, 53 ( 57.142857142857146, 11.725663716814159 )
davidcanvas.js:2917 onMouseUp: 896, 53 ( 57.142857142857146, 11.725663716814159 )
davidcanvas.js:2909 onMouseDown: 940, 53 ( 59.94897959183673, 11.725663716814159 )
davidcanvas.js:2917 onMouseUp: 940, 53 ( 59.94897959183673, 11.725663716814159 )
davidcanvas.js:2909 onMouseDown: 962, 83 ( 61.35204081632653, 18.36283185840708 )
davidcanvas.js:2917 onMouseUp: 962, 83 ( 61.35204081632653, 18.36283185840708 )
davidcanvas.js:2909 onMouseDown: 930, 89 ( 59.31122448979592, 19.690265486725664 )
davidcanvas.js:2917 onMouseUp: 930, 89 ( 59.31122448979592, 19.690265486725664 )
davidcanvas.js:2909 onMouseDown: 906, 89 ( 57.78061224489796, 19.690265486725664 )
davidcanvas.js:2917 onMouseUp: 906, 89 ( 57.78061224489796, 19.690265486725664 )
davidcanvas.js:2909 onMouseDown: 801, 140 ( 51.08418367346939, 30.97345132743363 )
davidcanvas.js:2917 onMouseUp: 801, 140 ( 51.08418367346939, 30.97345132743363 )
davidcanvas.js:2909 onMouseDown: 602, 140 ( 38.392857142857146, 30.97345132743363 )
davidcanvas.js:2917 onMouseUp: 602, 140 ( 38.392857142857146, 30.97345132743363 )
davidcanvas.js:2909 onMouseDown: 768, 129 ( 48.97959183673469, 28.539823008849556 )
davidcanvas.js:2917 onMouseUp: 768, 129 ( 48.97959183673469, 28.539823008849556 )
davidcanvas.js:2909 onMouseDown: 859, 111 ( 54.78316326530612, 24.557522123893804 )
davidcanvas.js:2917 onMouseUp: 859, 111 ( 54.78316326530612, 24.557522123893804 )
davidcanvas.js:2909 onMouseDown: 951, 120 ( 60.650510204081634, 26.548672566371682 )
davidcanvas.js:2917 onMouseUp: 951, 120 ( 60.650510204081634, 26.548672566371682 )
